Longitude,Latitude,EC1,EC2,Elevation
-120.03962,34.690842,13.0,21.7,328.15
-120.039624,34.690825,13.7,25.5,328.14
-120.039626,34.690809,14.2,19.4,328.1
-120.039626,34.690792,10.5,30.0,328.075
-120.039623,34.690777,15.6,26.2,328.06
-120.039621,34.690761,27.1,26.3,328.06
-120.03962,34.690746,22.5,28.9,328.04
-120.039618,34.69073,22.2,33.0,327.975
-120.039613,34.690713,15.2,22.3,327.885
-120.039609,34.690698,16.5,27.9,327.76
-120.039607,34.690683,14.3,21.3,327.665
-120.039605,34.690669,15.9,19.5,327.62
-120.039604,34.690656,14.8,27.0,327.58
-120.039604,34.690644,18.2,34.7,327.575
-120.039604,34.690632,15.9,34.8,327.615
-120.039603,34.690622,17.8,30.8,327.62
-120.039601,34.690614,16.8,26.0,327.58
-120.039599,34.690608,22.4,42.3,327.555
-120.0396,34.690602,25.8,31.5,327.555
-120.039602,34.690597,29.7,32.3,327.55
-120.039604,34.690592,19.8,27.3,327.525
-120.039605,34.690588,18.1,22.7,327.52
-120.039607,34.690584,22.3,21.1,327.545
-120.03961,34.69058,27.6,23.9,327.555
-120.039613,34.690574,23.6,33.6,327.55
-120.039556,34.690537,27.3,32.0,327.4
-120.039552,34.690548,23.2,35.6,327.385
-120.039552,34.690562,12.1,24.4,327.425
-120.039553,34.690577,11.6,31.9,327.435
-120.039554,34.690593,16.5,28.4,327.425
-120.039555,34.69061,16.6,28.7,327.425
-120.039555,34.690625,16.8,25.5,327.465
-120.039556,34.690641,18.0,29.6,327.53
-120.039557,34.690655,15.8,19.8,327.595
-120.039557,34.690671,16.0,20.8,327.645
-120.039556,34.690686,15.0,21.1,327.66
-120.039557,34.690701,16.3,22.7,327.69
-120.039557,34.690716,16.5,19.0,327.75
-120.039557,34.690732,13.0,22.2,327.775
-120.039557,34.690747,14.9,21.7,327.79
-120.039556,34.690762,15.7,19.9,327.89
-120.039555,34.690776,14.2,20.0,327.94
-120.039557,34.690791,15.6,15.3,327.825
-120.03956,34.690805,14.4,18.8,327.73
-120.039561,34.690819,14.7,18.1,327.735
-120.039563,34.690833,14.7,17.3,327.79
-120.039564,34.690848,16.0,19.0,327.87
-120.039564,34.690863,17.1,17.7,327.915
-120.039563,34.690878,19.3,20.2,327.935
-120.039563,34.690893,13.1,20.5,327.99
